Name,Storage_details,Screen_size,Camera_details,Battery_details,Processor,Price in Rupees
"Vivo V7+ (Gold, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.21 cm (5.99 inch) HD Display,16MP Rear Camera | 24MP Front Camera,3225 mAh Li-ion Battery,Qualcomm Snapdragon 450 Octa Core 1.8 GHz Processor,"22,221"
"Vivo V7+ (Matte Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.21 cm (5.99 inch) HD Display,16MP Rear Camera | 24MP Front Camera,3225 mAh Li-ion Battery,Qualcomm Snapdragon 450 Octa Core 1.8 GHz Processor,"22,221"
"Vivo Y69 (Gold, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 16MP Front Camera,3000 mAh Battery,Mediatek MT6750 Octa Core 1.5GHz Processor,"13,990"
"Vivo Y69 (Matte Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 16MP Front Camera,3000 mAh Battery,Mediatek MT6750 Octa Core 1.5GHz Processor,"13,900"
"Vivo Y21L (Grey, 16 GB)",1 GB RAM | 16 GB ROM | Expandable Upto 128 GB,11.43 cm (4.5 inch) HQVGA Display,5MP Rear Camera | 2MP Front Camera,2000 mAh Battery,qualcomm 0 Dual Core 1.2GHz Processor,"8,490"
"Vivo Y55S (Matte Black, 16 GB)",3 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.21 cm (5.2 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2730 mAh Li-Ion Battery,Qualcomm Snapdragon 425 64-bit Quad Core 1.4GHz Processor,"13,490"
"Vivo Y53 (Matte Black, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,12.7 cm (5 inch) quarter HD Display,8MP Rear Camera | 5MP Front Camera,2500 mAh Li-Ion Battery,Qualcomm Snapdragon 425 64-bit Quad Core 1.4GHz Processor,"8,490"
"Vivo V5s Perfect Selfie (Matte Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 20MP Front Camera,3000 mAh Li-Ion Battery,MediaTek MT6750 64-bit Octa Core 1.5GHz Processor,"18,990"
"Vivo V9 Pro (Nebula Purple, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,13MP + 2MP | 16MP Front Camera,3260 mAh Battery,Qualcomm Snapdragon 660AIE 1.95 GHz Octa-core Processor,"14,990"
"Vivo Y53i (Crown Gold, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,12.7 cm (5 inch) Quad HD Display,8MP Rear Camera | 5MP Front Camera,2500 mAh Li-ion Battery,Qualcomm MSM8917 Processor,"8,990"
